iter	Passed	Remaining
0	75	754316
1	154	773330
2	224	747813
3	293	732904
4	364	727790
5	440	733644
6	529	755943
7	629	786066
8	717	796180
9	817	816517
10	923	838614
11	1012	842918
12	1128	867004
13	1236	881913
14	1296	863014
15	1375	858109
16	1451	852108
17	1547	858343
18	1625	853933
19	1699	848085
20	1765	838834
21	1831	830750
22	1927	835913
23	1985	825346
24	2049	817757
25	2150	824994
26	2231	824082
27	2309	822556
28	2373	816205
29	2453	815419
30	2525	812088
31	2601	810224
32	2677	808728
33	2738	802787
34	2799	796947
35	2868	793813
36	2964	798335
37	3032	795022
38	3115	795696
39	3178	791517
40	3244	787976
41	3306	784073
42	3371	780711
43	3436	777660
44	3509	776428
45	3581	775008
46	3645	772029
47	3721	771510
48	3789	769567
49	3866	769487
50	3941	768854
51	4012	767640
52	4088	767363
53	4155	765364
54	4225	764125
55	4297	763195
56	4363	761176
57	4455	763689
58	4547	766143
59	4631	767225
60	4730	770814
61	4796	768820
62	4882	770164
63	4974	772265
64	5066	774418
65	5140	773694
66	5206	771835
67	5272	770141
68	5378	774088
69	5451	773309
70	5516	771518
71	5583	769952
72	5668	770882
73	5731	768805
74	5802	767909
75	5892	769425
76	5988	771747
77	6041	768547
78	6102	766374
79	6191	767709
80	6287	769960
81	6379	771602
82	6461	772001
83	6571	775695
84	6650	775742
85	6730	775910
86	6810	776022
87	6904	777670
88	6998	779327
89	7095	781317
90	7167	780423
91	7233	779025
92	7301	777855
93	7368	776542
94	7429	774649
95	7529	776760
96	7617	777653
97	7677	775731
98	7736	773714
99	7795	771710
100	7866	770980
101	7938	770379
102	8010	769669
103	8081	769025
104	8154	768462
105	8225	767771
106	8300	767482
107	8370	766647
108	8439	765849
109	8504	764611
110	8576	764107
111	8670	765494
112	8745	765165
113	8812	764185
114	8884	763665
115	8952	762780
116	9028	762647
117	9103	762389
118	9183	762578
119	9246	761266
120	9336	762240
121	9419	762634
122	9519	764451
123	9581	763135
124	9651	762495
125	9727	762315
126	9791	761195
127	9856	760207
128	9921	759224
129	9982	757890
130	10042	756562
131	10106	755508
132	10184	755594
133	10251	754815
134	10326	754590
135	10416	755514
136	10483	754730
137	10551	754044
138	10618	753307
139	10695	753288
140	10766	752841
141	10833	752123
142	10892	750792
143	10974	751163
144	11046	750761
